name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2024-04-16,22.8,11.8,16.7,22.8,11.8,16.7,1.1,37.2,0,0,0,,0,0,77.9,22.3,292.8,1019.5,0.4,16,311,26.8,9,10,2024-04-16T06:14:55,2024-04-16T19:37:12,0.26,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-17,15.7,10,12.4,15.7,6.8,12.1,4.9,62.1,0.041,100,12.5,rain,0,0,35.1,27.2,55.4,1020.5,51.1,16,103.4,8.9,8,10,2024-04-17T06:13:25,2024-04-17T19:38:15,0.29,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2024-04-18,10,7.9,8.6,7.2,4.3,5.4,6,83.9,0.029,100,12.5,rain,0,0,47.1,31.6,40,1018.6,98,11.5,47.8,4.2,2,10,2024-04-18T06:11:55,2024-04-18T19:39:18,0.33,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-19,12.9,8.3,9.9,12.9,5.5,8.7,5.1,72.7,0,0,0,,0,0,79.6,20.2,88.5,1020.6,93.1,15.7,196.5,17.1,8,10,2024-04-19T06:10:27,2024-04-19T19:40:21,0.36,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-20,20.6,9.4,13,20.6,7.8,12.7,5.8,67.1,0.089,100,8.33,rain,0,0,46.4,18.4,250.7,1014.2,62,15,216.8,18.6,10,10,2024-04-20T06:08:59,2024-04-20T19:41:24,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-21,11.7,6.6,9.2,11.7,4.2,8.4,-3,42.7,0,0,0,,0,0,69.7,17.9,282.9,1016.4,6.8,16,145.8,12.6,5,10,2024-04-21T06:07:32,2024-04-21T19:42:27,0.42,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-22,17.2,6.7,11,17.2,4.2,10.3,-2.3,41.8,0,0,0,,0,0,60.8,18,243.9,1018.1,0.4,16,305.8,26.4,9,10,2024-04-22T06:06:06,2024-04-22T19:43:30,0.46,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-23,15.7,7.8,11.2,15.7,6.7,10.8,0.4,48.2,0,0,0,,0,0,59,27.5,193,1020,4.6,15.9,294.7,25.4,9,10,2024-04-23T06:04:41,2024-04-23T19:44:33,0.5,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-24,20.7,10,14.4,20.7,9.1,14.3,4.1,51.3,0,0,0,,0,0,46.4,16.2,251.7,1012.8,49.4,15.6,229.2,19.8,10,10,2024-04-24T06:03:17,2024-04-24T19:45:36,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-25,13.4,7.2,9.9,13.4,3.6,8.3,-1,47.8,0,0,0,,0,0,40.7,23.8,74.7,1026,39.8,16,319.7,27.6,10,10,2024-04-25T06:01:54,2024-04-25T19:46:38,0.56,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KLGA,KJRB,F1417,KNYC"
